id,title,slug,cluster,status,score,qa_path,draft_path,research_path,subtitle,main_keyword,extended_keywords,search_intent,unique_angle,reader_job,decision_moment,answer_claim,evidence_plan,non_overlap_claim,internal_link_targets,section_sequence,visual_plan
"d001","갱년기 편두통 패턴이 달라질 때: 두통일과 생리·열감 변화를 나누는 기록","menopause-migraine-pattern","갱년기 전환","done","97","output/wonon/batch-110/qa/d001-menopause-migraine-pattern.json","output/wonon/batch-110/drafts/d001-menopause-migraine-pattern.mdx","output/wonon/batch-110/research/d001-menopause-migraine-pattern.json","갱년기 편두통 패턴: 월경·열감·두통 변화을 한 장의 진료 준비 기록으로 정리합니다.","갱년기 편두통 패턴","갱년기 편두통 패턴, 월경·열감·두통 변화, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","월경·열감·두통 변화","갱년기 편두통 패턴 때문에 의료진에게 전달할 월경·열감·두통 변화 관련 정보를 정리하는 갱년기 편두통 패턴 기록을 만든다.","갱년기 편두통 패턴 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","갱년기 편두통 패턴의 진료 준비에는 월경·열감·두통 변화 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","MedlinePlus: 갱년기 편두통 패턴에서 증상·위험 신호를 분류할 기준 확인 | WHO: 갱년기 편두통 패턴에서 열감·수면·월경 변화가 함께 나타나는 맥락을 확인할 수 있는가? | American Migraine Foundation: 갱년기 편두통 패턴에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","갱년기 편두통 패턴은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 월경·열감·두통 변화이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","갱년기 편두통 패턴이 시작된 장면과 날짜 | 월경·열감·두통 변화을 구분하는 관찰 기준 | 갱년기 편두통 패턴과 함께 확인할 동반 변화 | 갱년기 편두통 패턴 기록에 남길 복용·검사·생활 맥락 | 갱년기 편두통 패턴 상담에서 바로 전달할 질문","갱년기 편두통 패턴 5칸 결정 기록표"
"d002","호르몬치료 시작 전: 개인 병력과 가족력을 묻는 위험 질문지","hrt-personal-risk-questions","갱년기 치료 준비","done","97","output/wonon/batch-110/qa/d002-hrt-personal-risk-questions.json","output/wonon/batch-110/drafts/d002-hrt-personal-risk-questions.mdx","output/wonon/batch-110/research/d002-hrt-personal-risk-questions.json","호르몬치료 전 위험 질문: 개인 병력·가족력·복용품을 한 장의 진료 준비 기록으로 정리합니다.","호르몬치료 전 위험 질문","호르몬치료 전 위험 질문, 개인 병력·가족력·복용품, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","개인 병력·가족력·복용품","호르몬치료 전 위험 질문 때문에 의료진에게 전달할 개인 병력·가족력·복용품 관련 정보를 정리하는 호르몬치료 전 위험 질문 기록을 만든다.","호르몬치료 전 위험 질문 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","호르몬치료 전 위험 질문의 진료 준비에는 개인 병력·가족력·복용품 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","ACOG: 호르몬치료 전 위험 질문에서 증상·위험 신호를 분류할 기준 확인 | NCI: 호르몬치료 전 위험 질문에서 진료 전 기록할 사실과 복용 맥락 확인 | MedlinePlus: 호르몬치료 전 위험 질문에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","호르몬치료 전 위험 질문은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 개인 병력·가족력·복용품이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","호르몬치료 전 위험 질문이 시작된 장면과 날짜 | 개인 병력·가족력·복용품을 구분하는 관찰 기준 | 호르몬치료 전 위험 질문과 함께 확인할 동반 변화 | 호르몬치료 전 위험 질문 기록에 남길 복용·검사·생활 맥락 | 호르몬치료 전 위험 질문 상담에서 바로 전달할 질문","호르몬치료 전 위험 질문 5칸 결정 기록표"
"d003","호르몬치료 중 새 출혈이 생겼을 때: 날짜·양·복용 변화를 적는 연락 메모","hrt-abnormal-bleeding-contact-note","갱년기 치료 안전","done","97","output/wonon/batch-110/qa/d003-hrt-abnormal-bleeding-contact-note.json","output/wonon/batch-110/drafts/d003-hrt-abnormal-bleeding-contact-note.mdx","output/wonon/batch-110/research/d003-hrt-abnormal-bleeding-contact-note.json","호르몬치료 출혈: 출혈 양·복용 변화·연락 기준을 한 장의 진료 준비 기록으로 정리합니다.","호르몬치료 출혈","호르몬치료 출혈, 출혈 양·복용 변화·연락 기준, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","출혈 양·복용 변화·연락 기준","호르몬치료 출혈 때문에 의료진에게 전달할 출혈 양·복용 변화·연락 기준 관련 정보를 정리하는 호르몬치료 출혈 기록을 만든다.","호르몬치료 출혈 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","호르몬치료 출혈의 진료 준비에는 출혈 양·복용 변화·연락 기준 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","ACOG: 호르몬치료 출혈에서 증상·위험 신호를 분류할 기준 확인 | NHS: 호르몬치료 중 새 출혈이 있을 때 언제 의료진에게 연락할지와 부작용 맥락을 확인할 수 있는가? | MedlinePlus: 호르몬치료 출혈에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","호르몬치료 출혈은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 출혈 양·복용 변화·연락 기준이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","호르몬치료 출혈이 시작된 장면과 날짜 | 출혈 양·복용 변화·연락 기준을 구분하는 관찰 기준 | 호르몬치료 출혈과 함께 확인할 동반 변화 | 호르몬치료 출혈 기록에 남길 복용·검사·생활 맥락 | 호르몬치료 출혈 상담에서 바로 전달할 질문","호르몬치료 출혈 5칸 결정 기록표"
"d004","폐경 뒤 방광염이 반복될 때: 검사·성관계·질 건조를 나누는 상담표","recurrent-postmenopause-uti-context","배뇨·골반","done","97","output/wonon/batch-110/qa/d004-recurrent-postmenopause-uti-context.json","output/wonon/batch-110/drafts/d004-recurrent-postmenopause-uti-context.mdx","output/wonon/batch-110/research/d004-recurrent-postmenopause-uti-context.json","폐경 후 반복 방광염: 검사·질 건조·재발 간격을 한 장의 진료 준비 기록으로 정리합니다.","폐경 후 반복 방광염","폐경 후 반복 방광염, 검사·질 건조·재발 간격, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","검사·질 건조·재발 간격","폐경 후 반복 방광염 때문에 의료진에게 전달할 검사·질 건조·재발 간격 관련 정보를 정리하는 폐경 후 반복 방광염 기록을 만든다.","폐경 후 반복 방광염 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","폐경 후 반복 방광염의 진료 준비에는 검사·질 건조·재발 간격 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","MedlinePlus: 폐경 후 반복 방광염에서 증상·위험 신호를 분류할 기준 확인 | NHS: 폐경 후 반복 방광염에서 진료 전 기록할 사실과 복용 맥락 확인 | ACOG: 폐경 후 반복 방광염에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","폐경 후 반복 방광염은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 검사·질 건조·재발 간격이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","폐경 후 반복 방광염이 시작된 장면과 날짜 | 검사·질 건조·재발 간격을 구분하는 관찰 기준 | 폐경 후 반복 방광염과 함께 확인할 동반 변화 | 폐경 후 반복 방광염 기록에 남길 복용·검사·생활 맥락 | 폐경 후 반복 방광염 상담에서 바로 전달할 질문","폐경 후 반복 방광염 5칸 결정 기록표"
"d005","골다공증 약을 시작하기 전: 치과 치료 계획과 복용 이력을 묻는 준비표","osteoporosis-medication-dental-prep","골건강·치과","done","97","output/wonon/batch-110/qa/d005-osteoporosis-medication-dental-prep.json","output/wonon/batch-110/drafts/d005-osteoporosis-medication-dental-prep.mdx","output/wonon/batch-110/research/d005-osteoporosis-medication-dental-prep.json","골다공증 약 치과: 치과 치료 계획·복용 이력을 한 장의 진료 준비 기록으로 정리합니다.","골다공증 약 치과","골다공증 약 치과, 치과 치료 계획·복용 이력, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","치과 치료 계획·복용 이력","골다공증 약 치과 때문에 의료진에게 전달할 치과 치료 계획·복용 이력 관련 정보를 정리하는 골다공증 약 치과 기록을 만든다.","골다공증 약 치과 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","골다공증 약 치과의 진료 준비에는 치과 치료 계획·복용 이력 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","NIAMS: 골다공증 약 치과에서 증상·위험 신호를 분류할 기준 확인 | MedlinePlus: 골다공증 약 치과에서 진료 전 기록할 사실과 복용 맥락 확인 | NHS: 골다공증 약 치과에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","골다공증 약 치과은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 치과 치료 계획·복용 이력이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","골다공증 약 치과이 시작된 장면과 날짜 | 치과 치료 계획·복용 이력을 구분하는 관찰 기준 | 골다공증 약 치과과 함께 확인할 동반 변화 | 골다공증 약 치과 기록에 남길 복용·검사·생활 맥락 | 골다공증 약 치과 상담에서 바로 전달할 질문","골다공증 약 치과 5칸 결정 기록표"
"d006","골절 재활 중 통증이 더 심해질 때: 운동 뒤 변화와 붓기를 적는 회복표","fracture-rehab-worsening-pain-log","골건강·재활","done","97","output/wonon/batch-110/qa/d006-fracture-rehab-worsening-pain-log.json","output/wonon/batch-110/drafts/d006-fracture-rehab-worsening-pain-log.mdx","output/wonon/batch-110/research/d006-fracture-rehab-worsening-pain-log.json","골절 재활 통증 악화: 운동 반응·붓기·기능 제한을 한 장의 진료 준비 기록으로 정리합니다.","골절 재활 통증 악화","골절 재활 통증 악화, 운동 반응·붓기·기능 제한, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","운동 반응·붓기·기능 제한","골절 재활 통증 악화 때문에 의료진에게 전달할 운동 반응·붓기·기능 제한 관련 정보를 정리하는 골절 재활 통증 악화 기록을 만든다.","골절 재활 통증 악화 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","골절 재활 통증 악화의 진료 준비에는 운동 반응·붓기·기능 제한 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","NHS: 골절 재활 통증 악화에서 증상·위험 신호를 분류할 기준 확인 | NHS: 골절 재활 통증 악화에서 진료 전 기록할 사실과 복용 맥락 확인 | MedlinePlus: 골절 재활 통증 악화에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","골절 재활 통증 악화은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 운동 반응·붓기·기능 제한이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","골절 재활 통증 악화이 시작된 장면과 날짜 | 운동 반응·붓기·기능 제한을 구분하는 관찰 기준 | 골절 재활 통증 악화과 함께 확인할 동반 변화 | 골절 재활 통증 악화 기록에 남길 복용·검사·생활 맥락 | 골절 재활 통증 악화 상담에서 바로 전달할 질문","골절 재활 통증 악화 5칸 결정 기록표"
"d007","손목 골절 뒤 골다공증 평가를 들었을 때: 넘어짐과 검사 질문을 묶는 메모","wrist-fragility-fracture-evaluation","골건강·낙상","done","97","output/wonon/batch-110/qa/d007-wrist-fragility-fracture-evaluation.json","output/wonon/batch-110/drafts/d007-wrist-fragility-fracture-evaluation.mdx","output/wonon/batch-110/research/d007-wrist-fragility-fracture-evaluation.json","손목 골절 골다공증 평가: 넘어짐 상황·골절력·검사 질문을 한 장의 진료 준비 기록으로 정리합니다.","손목 골절 골다공증 평가","손목 골절 골다공증 평가, 넘어짐 상황·골절력·검사 질문, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","넘어짐 상황·골절력·검사 질문","손목 골절 골다공증 평가 때문에 의료진에게 전달할 넘어짐 상황·골절력·검사 질문 관련 정보를 정리하는 손목 골절 골다공증 평가 기록을 만든다.","손목 골절 골다공증 평가 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","손목 골절 골다공증 평가의 진료 준비에는 넘어짐 상황·골절력·검사 질문 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","MedlinePlus: 손목 골절 골다공증 평가에서 증상·위험 신호를 분류할 기준 확인 | NIAMS: 손목 골절 골다공증 평가에서 진료 전 기록할 사실과 복용 맥락 확인 | CDC: 납상 이후 골절 위험을 줄이기 위해 넘어짐 상황과 예방 질문을 기록할 수 있는가?","손목 골절 골다공증 평가은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 넘어짐 상황·골절력·검사 질문이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","손목 골절 골다공증 평가이 시작된 장면과 날짜 | 넘어짐 상황·골절력·검사 질문을 구분하는 관찰 기준 | 손목 골절 골다공증 평가과 함께 확인할 동반 변화 | 손목 골절 골다공증 평가 기록에 남길 복용·검사·생활 맥락 | 손목 골절 골다공증 평가 상담에서 바로 전달할 질문","손목 골절 골다공증 평가 5칸 결정 기록표"
"d008","넘어진 뒤 머리를 부딪혔을 때: 시간·구토·기억 변화를 적는 연락 카드","head-impact-after-fall-card","낙상 안전","done","98","output/wonon/batch-110/qa/d008-head-impact-after-fall-card.json","output/wonon/batch-110/drafts/d008-head-impact-after-fall-card.mdx","output/wonon/batch-110/research/d008-head-impact-after-fall-card.json","낙상 머리 부딪힘: 충격 시각·구토·기억 변화을 한 장의 진료 준비 기록으로 정리합니다.","낙상 머리 부딪힘","낙상 머리 부딪힘, 충격 시각·구토·기억 변화, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","충격 시각·구토·기억 변화","낙상 머리 부딪힘 때문에 의료진에게 전달할 충격 시각·구토·기억 변화 관련 정보를 정리하는 낙상 머리 부딪힘 기록을 만든다.","낙상 머리 부딪힘 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","낙상 머리 부딪힘의 진료 준비에는 충격 시각·구토·기억 변화 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","CDC: 낙상 머리 부딪힘에서 증상·위험 신호를 분류할 기준 확인 | NHS: 낙상 머리 부딪힘에서 진료 전 기록할 사실과 복용 맥락 확인 | MedlinePlus: 낙상 머리 부딪힘에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","낙상 머리 부딪힘은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 충격 시각·구토·기억 변화이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","낙상 머리 부딪힘이 시작된 장면과 날짜 | 충격 시각·구토·기억 변화을 구분하는 관찰 기준 | 낙상 머리 부딪힘과 함께 확인할 동반 변화 | 낙상 머리 부딪힘 기록에 남길 복용·검사·생활 맥락 | 낙상 머리 부딪힘 상담에서 바로 전달할 질문","낙상 머리 부딪힘 5칸 결정 기록표"
"d009","무릎 통증에 붓기가 더해질 때: 열감·체중부하·잠김을 나누는 표","knee-pain-swelling-signal","근골격","done","97","output/wonon/batch-110/qa/d009-knee-pain-swelling-signal.json","output/wonon/batch-110/drafts/d009-knee-pain-swelling-signal.mdx","output/wonon/batch-110/research/d009-knee-pain-swelling-signal.json","무릎 통증 붓기: 열감·체중부하·잠김을 한 장의 진료 준비 기록으로 정리합니다.","무릎 통증 붓기","무릎 통증 붓기, 열감·체중부하·잠김, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","열감·체중부하·잠김","무릎 통증 붓기 때문에 의료진에게 전달할 열감·체중부하·잠김 관련 정보를 정리하는 무릎 통증 붓기 기록을 만든다.","무릎 통증 붓기 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","무릎 통증 붓기의 진료 준비에는 열감·체중부하·잠김 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","NIAMS: 무릎 통증 붓기에서 증상·위험 신호를 분류할 기준 확인 | NHS: 무릎 통증 붓기에서 진료 전 기록할 사실과 복용 맥락 확인 | MedlinePlus: 무릎 통증 붓기에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","무릎 통증 붓기은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 열감·체중부하·잠김이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","무릎 통증 붓기이 시작된 장면과 날짜 | 열감·체중부하·잠김을 구분하는 관찰 기준 | 무릎 통증 붓기과 함께 확인할 동반 변화 | 무릎 통증 붓기 기록에 남길 복용·검사·생활 맥락 | 무릎 통증 붓기 상담에서 바로 전달할 질문","무릎 통증 붓기 5칸 결정 기록표"
"d010","손가락 뻣뻣함과 피부·눈 증상이 함께 있을 때: 동반 변화를 적는 진료 메모","finger-stiffness-psoriasis-eye-note","근골격","done","96","output/wonon/batch-110/qa/d010-finger-stiffness-psoriasis-eye-note.json","output/wonon/batch-110/drafts/d010-finger-stiffness-psoriasis-eye-note.mdx","output/wonon/batch-110/research/d010-finger-stiffness-psoriasis-eye-note.json","손가락 뻣뻣함 피부 눈: 피부 병변·눈 통증·아침 경직을 한 장의 진료 준비 기록으로 정리합니다.","손가락 뻣뻣함 피부 눈","손가락 뻣뻣함 피부 눈, 피부 병변·눈 통증·아침 경직, 중년 여성 건강","증상 맥락 정리와 안전한 진료 준비","피부 병변·눈 통증·아침 경직","손가락 뻣뻣함 피부 눈 때문에 의료진에게 전달할 피부 병변·눈 통증·아침 경직 관련 정보를 정리하는 손가락 뻣뻣함 피부 눈 기록을 만든다.","손가락 뻣뻣함 피부 눈 때문에 오늘 상담이나 예약 전에 무엇을 적을지 결정해야 하는 순간","손가락 뻣뻣함 피부 눈의 진료 준비에는 피부 병변·눈 통증·아침 경직 관련 사실과 시간 경과를 분리해 적는 것이 도움이 된다. 이 계약은 진단·약 선택·치료 변경을 대신하지 않는다.","NIAMS: 손가락 뻣뻣함 피부 눈에서 증상·위험 신호를 분류할 기준 확인 | National Eye Institute: 손가락 뻣뻣함 피부 눈에서 진료 전 기록할 사실과 복용 맥락 확인 | NHS: 손가락 뻣뻣함 피부 눈에서 지체하지 않고 의료진에게 전달할 동반 변화 확인","손가락 뻣뻣함 피부 눈은 현재 89개 글의 다른 증상·검사·생활 기능 기록과 달리 피부 병변·눈 통증·아침 경직이라는 고유한 결정 순간을 다룬다.","/article/health-checkup-questions | /article/medication-reconciliation-sheet | /article/new-headache-pattern-card","손가락 뻣뻣함 피부 눈이 시작된 장면과 날짜 | 피부 병변·눈 통증·아침 경직을 구분하는 관찰 기준 | 손가락 뻣뻣함 피부 눈과 함께 확인할 동반 변화 | 손가락 뻣뻣함 피부 눈 기록에 남길 복용·검사·생활 맥락 | 손가락 뻣뻣함 피부 눈 상담에서 바로 전달할 질문","손가락 뻣뻣함 피부 눈 5칸 결정 기록표"
